## Confluence Ingest Log

### 2026-04-20T00:00:00Z — Scheduled Sync Run

**Spaces scanned:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
**Date window:** 2026-04-13 to 2026-04-20 (last 7 days)
**First run:** Yes (no prior sync log or project-mapping.md found)

**Pages synced:**
- CE/growth-engine.md — "Growth Engine" (page_id: 275972100, last updated: 2026-04-15T22:06:11Z)

**Pages skipped (no updates in window):**
- LN space: 14 pages, none updated since 2026-04-13
- MP space: 1 page (default homepage only, last updated 2025-10-10)
- WB space: 1 page (default homepage only, last updated 2025-08-18)
- RW space: 1 page (default homepage only, last updated 2025-09-18)

**Notes:**
- project-mapping.md not found; used identity.yaml project_slug_map to determine active projects (cetera/f2-cetera, lnw, mai)
- No pages tagged "private" or in personal spaces were encountered
- CE space has 50 pages total; only "Growth Engine" was modified within the sync window

## Sync Run: 2026-04-21

**Spaces scanned:** LN (LNW), WB (William Blair), RW (Ritholtz Wealth), MP (MAI Post-MVP), CE (Cetera)
**CQL query:** `type = page AND lastModified >= now("-7d") AND space.type = "global"`
**Pages found (updated in last 7 days):** 1

| Page | Space | Page ID | Last Modified | Action |
**Notes:** All 4 updated pages were in the CE (Cetera) space. LN, WB, RW, MP had no pages modified in the last 7 days. No pages tagged "private" or in personal spaces were encountered. Growth Engine page now includes new diagrams (referenced as Confluence attachments — image blobs not mirrored, noted as "See diagrams in Confluence" in mirror), updated design section with Lead Conversion Logic, and Data Model diagrams added since last sync.

## Sync Run: 2026-04-23

**Spaces scanned:** CE (Cetera), LN (LNW), WB (William Blair), RW (Ritholtz Wealth), MP (MAI Post-MVP)
**CQL query:** `type = page AND lastModified >= now("-7d") AND space.type = "global"`
**Pages found (updated in last 7 days):** 4

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Growth Engine | CE | 275972100 | 2026-04-21T22:22:31Z | Skipped, unchanged since last sync (last_confluence_update matches) |
| Gifts Object Alignment | CE | 430964740 | 2026-04-21T23:16:58Z | Skipped, unchanged since last sync |
| APP Address | CE | 430768132 | 2026-04-21T23:19:07Z | Skipped, unchanged since last sync |
| Core Salesforce Usage Alignment | CE | 275382274 | 2026-04-21T23:12:21Z | Skipped, unchanged since last sync |

**Synced:** 0
**Skipped (unchanged):** 4
**Errors:** None
**Notes:** All 4 pages in the CE space were last modified on 2026-04-21, matching the timestamps from the previous sync on 2026-04-22. No pages in LN, WB, RW, or MP spaces were modified in the last 7 days. No new pages detected. No pages tagged "private" or in personal spaces.

## Sync Run: 2026-04-24

**Spaces scanned:** CE (Cetera), LN (LNW), WB (William Blair), RW (Ritholtz Wealth), MP (MAI Post-MVP)
**CQL query:** `type = page AND lastModified >= now("-7d") AND space.type = "global"`
**Pages found (updated in last 7 days):** 4

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Growth Engine | CE | 275972100 | 2026-04-21T22:22:31Z | Skipped, unchanged since last sync |
| Gifts Object Alignment | CE | 430964740 | 2026-04-21T23:16:58Z | Skipped, unchanged since last sync |
| APP Address | CE | 430768132 | 2026-04-21T23:19:07Z | Skipped, unchanged since last sync |
| Core Salesforce Usage Alignment | CE | 275382274 | 2026-04-21T23:12:21Z | Skipped, unchanged since last sync |

**Synced:** 0
**Skipped (unchanged):** 4
**Errors:** None
**Notes:** All 4 pages in the CE space were last modified on 2026-04-21, matching timestamps from the 2026-04-22 and 2026-04-23 syncs. No pages in LN, WB, RW, or MP spaces were modified in the last 7 days. No new pages detected. No pages tagged "private" or in personal spaces.

## Sync Run: 2026-04-27

**Spaces scanned:** CE (Cetera), LN (LNW), WB (William Blair), RW (Ritholtz Wealth), MP (MAI Post-MVP)
**CQL query:** `type = page AND lastModified >= now("-7d") AND space.type = "global"`
**Pages found (updated in last 7 days):** 5

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Financial planning | CE | 433487874 | 2026-04-24 | New — wiki/f2-internal/CE/financial-planning.md |
| Gifts Object Alignment | CE | 430964740 | 2026-04-24 | Updated — wiki/f2-internal/CE/gifts-object-alignment.md (prev last_confluence_update was 2026-04-21) |
| APP Address | CE | 430768132 | 2026-04-24 | Updated — wiki/f2-internal/CE/app-address.md (prev last_confluence_update was 2026-04-21) |
| Growth Engine | CE | 275972100 | 2026-04-21 | Skipped, unchanged since last sync |
| Core Salesforce Usage Alignment | CE | 275382274 | 2026-04-21 | Skipped, unchanged since last sync |

**Synced:** 3 (1 new, 2 updated)
**Skipped (unchanged):** 2
**Errors:** None
**Notes:** All 5 pages in the CE (Cetera) space. LN, WB, RW, MP had no pages modified in the last 7 days. No pages tagged "private" or in personal spaces were encountered. New page "Financial planning" covers Story 1.2 (Financial Planning feature design with LWC UI and Apex/Flow backend). Gifts Object Alignment and APP Address both received Jira item links (CET-136 through CET-139 and CET-131 through CET-134 respectively) and expanded design notes since last sync.

## Sync Run: 2026-04-28

**Spaces scanned:** CE (Cetera), LN (LNW), WB (William Blair), RW (Ritholtz Wealth), MP (MAI Post-MVP)
**CQL query:** `type = page AND lastModified >= now("-7d") AND space.type = "global"`
**Pages found (updated in last 7 days):** 5

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Financial planning | CE | 433487874 | 2026-04-24T21:52:51Z | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-24) |
| Gifts Object Alignment | CE | 430964740 | 2026-04-24T22:19:10Z | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-24) |
| APP Address | CE | 430768132 | 2026-04-24T22:04:51Z | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-24) |
| Growth Engine | CE | 275972100 | 2026-04-21T22:22:31Z | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-21T22:22) |
| Core Salesforce Usage Alignment | CE | 275382274 | 2026-04-21T23:12:21Z | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-21T23:12) |

**Synced:** 0
**Skipped (unchanged):** 5
**Errors:** None
**Notes:** All 5 pages are in the CE (Cetera) space. No pages in LN, WB, RW, or MP spaces were modified in the last 7 days. No pages tagged "private" or in personal spaces were encountered. All mirror files are current — no updates needed.

## Sync Run: 2026-04-30

**Spaces scanned:** CE (Cetera), LN (LNW), WB (William Blair), RW (Ritholtz Wealth), MP (MAI Post-MVP)
**CQL query:** `type = page AND lastModified >= now("-7d") AND space.type = "global"`
**Pages found (updated in last 7 days):** 3

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Financial planning | CE | 433487874 | 2026-04-29T19:59:00Z | Updated — wiki/f2-internal/CE/financial-planning.md (prev last_confluence_update was 2026-04-24, page modified Apr 29; body content unchanged, frontmatter timestamps refreshed) |
| Gifts Object Alignment | CE | 430964740 | 2026-04-24 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-24) |
| APP Address | CE | 430768132 | 2026-04-24 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-24) |

**Synced:** 1 (updated metadata only — body unchanged)
**Skipped (unchanged):** 2
**Errors:** None
**Notes:** Only 3 pages across all 5 global spaces were modified in the last 7 days (down from 5 last sync — Growth Engine and Core Salesforce Usage Alignment have aged out of the 7-day window). All 3 pages are in the CE (Cetera) space. LN, WB, RW, MP had no pages modified in the last 7 days. No pages tagged "private" or in personal spaces were encountered. Financial planning page was re-saved on Apr 29 but body content is identical to the Apr 24 version — likely a minor edit or attachment update in Confluence.

## Sync Run: 2026-05-01

**Spaces scanned:** CE (Cetera), LN (LNW), WB (William Blair), RW (Ritholtz Wealth), MP (MAI Post-MVP)
**CQL query:** `type = page AND lastModified >= now("-7d") AND space.type = "global"`
**Pages found (updated in last 7 days):** 3

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Financial planning | CE | 433487874 | 2026-04-29T19:59:09Z | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-29T19:59:00Z) |
| Gifts Object Alignment | CE | 430964740 | 2026-04-24 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-24) |
| APP Address | CE | 430768132 | 2026-04-24 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-24) |

**Synced:** 0
**Skipped (unchanged):** 3
**Errors:** None
**Notes:** All 3 pages are in the CE (Cetera) space. Growth Engine and Core Salesforce Usage Alignment have aged out of the 7-day window (last modified 2026-04-21). LN, WB, RW, MP had no pages modified in the last 7 days. No pages tagged "private" or in personal spaces were encountered. All mirror files are current — no updates needed.

## Sync Run: 2026-05-05

**Spaces scanned:** CE (Cetera), LN (LNW), WB (William Blair), RW (Ritholtz Wealth), MP (MAI Post-MVP)
**CQL query:** `type = page AND lastModified >= now("-7d") AND space.type = "global"`
**Pages found (updated in last 7 days):** 1

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Financial planning | CE | 433487874 | 2026-04-29T19:59:00Z | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-04-29T19:59:00Z) |

**Synced:** 0
**Skipped (unchanged):** 1
**Errors:** None
**Notes:** Only 1 page across all 5 global spaces was modified in the last 7 days. Gifts Object Alignment, APP Address, Growth Engine, and Core Salesforce Usage Alignment have all aged out of the 7-day window (last modified 2026-04-21–2026-04-24). LN, WB, RW, MP had no pages modified in the last 7 days. No pages tagged "private" or in personal spaces were encountered. All mirror files are current — no updates needed.

[2026-05-07T06:30:00-05:00] CONFLUENCE-INGEST — No updates found
- Spaces checked: CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- CQL: type = page AND lastModified >= now("-7d") AND space IN ("CE", "LN", "MP", "WB", "RW")
- Result: 0 pages updated in last 7 days
- Existing mirrors in f2-internal/CE/: 5 files (app-address.md, core-salesforce-usage-alignment.md, financial-planning.md, gifts-object-alignment.md, growth-engine.md)
- Action: None required — all mirrors are current.
## [2026-05-08T06:30:00-05:00] confluence-ingest | No changes

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP)
- **CQL window:** lastModified >= 2026-05-01 (7-day lookback)
- **Pages found in window:** 0
- **Extended check (since Apr 22):** 3 pages (Financial planning Apr 29, Gifts Object Alignment Apr 24, APP Address Apr 24) — all already synced by prior runs
- **Mirrors verified current:** 5 files in `wiki/f2-internal/CE/` — all `last_confluence_update` timestamps match or predate Confluence `lastModified`
- **Pages written:** 0
- **Pages updated:** 0
- **Result:** No action needed. All mirrors current.

## [2026-05-11T06:30:00-05:00] confluence-ingest | No changes

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **CQL window:** lastModified >= now("-7d") (2026-05-04 to 2026-05-11)
- **Pages found in window:** 0
- **Mirrors verified current:** 5 files in `wiki/f2-internal/CE/` (app-address.md, core-salesforce-usage-alignment.md, financial-planning.md, gifts-object-alignment.md, growth-engine.md)
- **Pages written:** 0
- **Pages updated:** 0
- **Result:** No action needed. All mirrors current.

## [2026-05-12T06:30:00-05:00] confluence-ingest | No changes

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **CQL window:** lastModified >= now("-7d") (2026-05-05 to 2026-05-12)
- **Pages found in window:** 0
- **Mirrors verified current:** 5 files in `wiki/f2-internal/CE/` (app-address.md, core-salesforce-usage-alignment.md, financial-planning.md, gifts-object-alignment.md, growth-engine.md)
- **Pages written:** 0
- **Pages updated:** 0
- **Result:** No action needed. All mirrors current.

## [2026-05-13T06:30:00-05:00] confluence-ingest | No changes

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **CQL window:** lastModified >= now("-7d") (2026-05-06 to 2026-05-13)
- **Pages found in window:** 0
- **Mirrors verified current:** 5 files in `wiki/f2-internal/CE/` (app-address.md, core-salesforce-usage-alignment.md, financial-planning.md, gifts-object-alignment.md, growth-engine.md)
- **Pages written:** 0
- **Pages updated:** 0
- **Result:** No action needed. All mirrors current.

## [2026-05-14T06:30:00-05:00] confluence-ingest | No changes

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **CQL window:** lastModified >= now("-7d") (2026-05-07 to 2026-05-14)
- **Pages found in window:** 0
- **Mirrors verified current:** 5 files in `wiki/f2-internal/CE/` (app-address.md, core-salesforce-usage-alignment.md, financial-planning.md, gifts-object-alignment.md, growth-engine.md)
- **Pages written:** 0
- **Pages updated:** 0
- **Result:** No action needed. All mirrors current.

## [2026-05-28T06:30:00-05:00] confluence-ingest | 1 page updated

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **CQL window:** lastModified >= now("-7d") (2026-05-21 to 2026-05-28)
- **Pages found in window:** 1

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Growth Engine | CE | 275972100 | 2026-05-21 | Updated — wiki/f2-internal/CE/growth-engine.md (prev last_confluence_update was 2026-04-21, page modified May 21; Jira items updated to CET-156 through CET-159, content structure unchanged) |

- **Synced:** 1 (updated)
- **Skipped (unchanged):** 0
- **Errors:** None
- **Notes:** Only 1 page across all 5 global spaces was modified in the last 7 days. Growth Engine page now references Jira items CET-156 through CET-159 (previously CET items were embedded as smart links). LN, WB, RW, MP had no pages modified in the last 7 days. No pages tagged "private" or in personal spaces were encountered. Existing mirrors for app-address.md, core-salesforce-usage-alignment.md, financial-planning.md, gifts-object-alignment.md remain current (aged out of 7-day window).

## [2026-06-01T06:39:24-05:00] confluence-ingest | 6 pages synced

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **Active project keywords (project-mapping.md):** cetera/CET → CE, mai/MAI → MP, lnw/LNW → LN
- **CQL window:** `type = page AND lastModified >= now("-7d") AND space IN ("CE","LN","MP","WB","RW")` (2026-05-25 to 2026-06-01)
- **Pages found in window:** 6 (all in CE / Cetera)

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Affiliate Onboarding | CE | 451575809 | 2026-05-28 | New — wiki/f2-internal/CE/affiliate-onboarding.md |
| Case Object Alignment | CE | 274071713 | 2026-05-28 | New — wiki/f2-internal/CE/case-object-alignment.md |
| Growth Engine | CE | 275972100 | 2026-05-28 | Updated — prev last_confluence_update 2026-05-21; Jira items now CET-156–159 + CET-168 |
| Financial Planning | CE | 433487874 | 2026-05-28 | Updated — prev last_confluence_update 2026-04-29; Jira items now CET-122–124, 127, 164 |
| Gifts Object Alignment | CE | 430964740 | 2026-05-28 | Updated — prev last_confluence_update 2026-04-24; Jira item CET-166 added |
| APP Address | CE | 430768132 | 2026-05-28 | Updated — prev last_confluence_update 2026-04-24; Jira item CET-167 added |

- **Synced:** 6 (2 new, 4 updated)
- **Skipped (unchanged):** 1 — core-salesforce-usage-alignment.md (page 275382274, not modified in window, aged out at 2026-04-21)
- **Errors:** `getAccessibleAtlassianResources` returned a transient credential-refresh error on first call; recovered — `atlassianUserInfo` and all space/page calls succeeded against cloud `f2strategy.atlassian.net`.
- **Notes:**
  - All 6 in-window pages are in the CE (Cetera) space. LN, WB, RW, MP had no pages modified in the last 7 days.
  - WB and RW are not active projects in project-mapping.md but were scanned for parity with prior runs; no matches.
  - Confluence API returned date-only granularity ("May 28, 2026") for lastModified — `last_confluence_update` recorded as `2026-05-28T00:00:00Z`.
  - Two new Cetera design pages mirrored this run: **Affiliate Onboarding** (Story 1.4) and **Case Object Alignment** (Story 7.7 — large design doc, 40+20 new fields, 10 open design decisions, references to attached CSV/PDF mapping files which are not mirrored).
  - Image/diagram blobs not mirrored — noted inline as "(See diagrams in Confluence)".
  - No pages tagged "private" or in personal spaces were copied.

## [2026-06-02T06:39:01-05:00] confluence-ingest | No changes

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **Active project keywords (project-mapping.md):** cetera/CET → CE, lnw/LNW → LN, mai/MAI → MP
- **CQL window:** `space in (CE, LN) AND type = page AND lastmodified >= "2026-05-26" order by lastmodified desc` (2026-05-26 to 2026-06-02)
- **Pages found in window:** 6 (all in CE / Cetera)

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Affiliate Onboarding | CE | 451575809 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28; last_synced 2026-06-01 > page lastModified) |
| Growth Engine | CE | 275972100 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28) |
| APP Address | CE | 430768132 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28) |
| Gifts Object Alignment | CE | 430964740 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28) |
| Case Object Alignment | CE | 274071713 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28) |
| Financial Planning | CE | 433487874 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28) |

- **Synced:** 0
- **Skipped (unchanged):** 6
- **Errors:** None
- **Notes:**
  - All 6 in-window pages were already mirrored by the 2026-06-01 run at their 2026-05-28 version. Confluence still reports lastModified = May 28, 2026 (date-only granularity) for all six, which predates last_synced (2026-06-01) — no edits since last sync, so all skipped.
  - Verified body content of Affiliate Onboarding against its mirror: identical (Story 1.4, CET-151–154, 169). Confirms no content drift.
  - LN (LNW) had no pages modified in the last 7 days. WB, RW, MP scanned for parity — no in-window matches (not active F2 keyword projects).
  - No pages tagged "private" or in personal spaces were copied.

## [2026-06-03T06:39:12-05:00] confluence-ingest | No changes

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **Active F2 projects (project-mapping.md + identity.yaml):** cetera/CET → CE, lnw/LNW → LN. (WB, RW, MP scanned for parity; not active F2 keyword projects.)
- **CQL window:** `space in (CE, LN) AND type = page AND lastmodified >= "2026-05-27" order by lastmodified desc` (7-day lookback, 2026-05-27 to 2026-06-03)
- **Pages found in window:** 6 (all in CE / Cetera)

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Affiliate Onboarding | CE | 451575809 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28; last_synced 2026-06-01 > page lastModified) |
| Growth Engine | CE | 275972100 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28) |
| APP Address | CE | 430768132 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28) |
| Gifts Object Alignment | CE | 430964740 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28) |
| Case Object Alignment | CE | 274071713 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28) |
| Financial Planning | CE | 433487874 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28) |

- **Synced:** 0
- **Skipped (unchanged):** 6
- **Errors:** None
- **Notes:**
  - Verified all 6 in-window mirrors' frontmatter directly: each has `last_confluence_update: 2026-05-28T00:00:00Z` and `last_synced: 2026-06-01`. Confluence still reports `lastModified` = May 28, 2026 (date-only granularity) for all six, which predates `last_synced` — no edits since last sync, so all skipped per immutability rule.
  - LN (LNW) had no pages modified in the window. WB, RW, MP scanned for parity — no in-window matches.
  - Mirror directory `wiki/f2-internal/CE/` holds 7 files (the 6 above + core-salesforce-usage-alignment.md, aged out of window) — all current.
  - No pages tagged "private" or in personal spaces were copied.

## [2026-06-04T06:39:00-05:00] confluence-ingest | No changes

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **Active F2 projects (identity.yaml project_slug_map):** cetera/f2-cetera → CE, lnw → LN. (WB, RW, MP scanned for parity; not active keyword projects.)
- **CQL window:** `space in ("CE","LN","MP","WB","RW") AND type = page AND lastmodified >= "2026-05-28" order by lastmodified desc` (7-day lookback, 2026-05-28 to 2026-06-04)
- **Pages found in window:** 6 (all in CE / Cetera)

| Page | Space | Page ID | Last Modified | Action |
|------|-------|---------|---------------|--------|
| Affiliate Onboarding | CE | 451575809 | 2026-05-28 | Skipped, unchanged since last sync (mirror last_confluence_update: 2026-05-28T00:00:00Z; last_synced 2026-06-01 > page lastModified) |
| Growth Engine | CE | 275972100 | 2026-05-28 | Skipped, unchanged since last sync |
| APP Address | CE | 430768132 | 2026-05-28 | Skipped, unchanged since last sync |
| Gifts Object Alignment | CE | 430964740 | 2026-05-28 | Skipped, unchanged since last sync |
| Case Object Alignment | CE | 274071713 | 2026-05-28 | Skipped, unchanged since last sync |
| Financial Planning | CE | 433487874 | 2026-05-28 | Skipped, unchanged since last sync |

- **Synced:** 0
- **Skipped (unchanged):** 6
- **Errors:** None
- **Notes:**
  - Confluence still reports lastModified = May 28, 2026 (date-only granularity) for all six pages — no edits since the 2026-06-01 full sync. Spot-checked affiliate-onboarding.md frontmatter: last_confluence_update 2026-05-28T00:00:00Z, last_synced 2026-06-01 — current.
  - project-mapping.md not found in _System (consistent with prior runs); used identity.yaml project_slug_map for active project keywords.
  - LN, WB, RW, MP had no pages modified in the window.
  - Mirror directory wiki/f2-internal/CE/ holds 7 files (6 above + core-salesforce-usage-alignment.md, aged out of window) — all current.
  - No pages tagged "private" or in personal spaces were copied.

## [2026-06-05T06:39:00-05:00] confluence-ingest | No changes

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **Active F2 projects (identity.yaml project_slug_map):** cetera/f2-cetera → CE, lnw → LN. (WB, RW, MP scanned for parity; not active keyword projects. project-mapping.md still not present in _System — consistent with prior runs.)
- **CQL window:** `space in ("CE","LN","MP","WB","RW") AND type = page AND lastmodified >= "2026-05-29" order by lastmodified desc` (7-day lookback, 2026-05-29 to 2026-06-05)
- **Pages found in window:** 0

- **Synced:** 0
- **Skipped (unchanged):** 0 in window
- **Errors:** None
- **Notes:**
  - The 6 CE pages from the 2026-06-01 full sync (Affiliate Onboarding, Growth Engine, APP Address, Gifts Object Alignment, Case Object Alignment, Financial Planning) all still report lastModified = May 28, 2026 — confirmed via wider sanity-check query (lastmodified >= 2026-05-26 returned exactly those 6, all CE). They have now aged out of the 7-day window and were last mirrored 2026-06-01 — mirrors current.
  - LN, WB, RW, MP had no pages modified in the window.
  - Mirror directory wiki/f2-internal/CE/ holds 7 files (6 above + core-salesforce-usage-alignment.md) — all current.
  - No pages tagged "private" or in personal spaces were encountered.

## [2026-06-08T06:39:00-05:00] confluence-ingest | No changes

- **Spaces checked:** CE (Cetera), LN (LNW), MP (MAI Post-MVP), WB (William Blair), RW (Ritholtz Wealth)
- **Active F2 projects (project-mapping.md + identity.yaml):** cetera/CET → CE, lnw/LNW → LN. (WB, RW, MP scanned for parity; not active F2 keyword projects. project-mapping.md present this run — confirmed active F2 Confluence projects = cetera, lnw.)
- **CQL window:** `space in (CE, LN) AND type = page AND lastmodified >= "2026-06-01" order by lastmodified desc` (7-day lookback, 2026-06-01 to 2026-06-08). Also verified with `now("-7d")` — both returned 0.
- **Pages found in window:** 0

- **Synced:** 0
- **Skipped (unchanged):** 0 in window
- **Errors:** None
- **Notes:**
  - Sanity-check query (no date filter, ordered by lastmodified desc) confirms the most recent modification across CE + LN is **May 28, 2026** (the 6 CE design pages from the 2026-06-01 full sync: Affiliate Onboarding, Growth Engine, APP Address, Gifts Object Alignment, Case Object Alignment, Financial Planning). All have aged out of the 7-day window and were last mirrored 2026-06-01 — mirrors current.
  - LN (LNW) had no pages modified in the window (most recent LN edits 2026-04-06). WB, RW, MP scanned for parity — no in-window matches.
  - Mirror directory `wiki/f2-internal/CE/` holds 7 files (the 6 above + core-salesforce-usage-alignment.md) — all current.
  - No pages tagged "private" or in personal spaces were copied. ~70 personal spaces and non-F2 global spaces (William Blair, Ritholtz Wealth, MAI Post-MVP, Modera, Common) excluded per task rules.
